missing,method,mean,std,min,max,median
0.01,rmean,0.4203340663598394,0.14863034204816064,0.11717337385892147,1.0193195613280825,0.39326585146128124
0.01,last,0.37875008134341887,0.1274058059697984,0.13642813917528746,0.8420993552278349,0.35585490057017083
0.01,next,0.3960671770389015,0.12472164553168236,0.14129838958475363,1.1114570635430978,0.3821599615583101
0.01,linear_interp,0.313313432440927,0.11467752189889652,0.07881773840709448,0.858823593201828,0.29749113027699836
0.01,quadratic_interp,0.7050470772789961,2.9109834918513346,0.07362557828157765,22.45266190121714,0.2930871294874459
0.01,spline,4521.151228537388,74528.34875859399,0.12421247857861781,1471326.0736294694,0.2974563591866727
0.01,knn,0.3291067724621058,0.12135819733840146,0.0891439591075242,0.9233826626847571,0.3107607638356326
0.01,kalman,0.3255621693701761,0.12121201685332088,0.08974760291920869,0.8975002786497738,0.3087202601980683
0.01,matrix_estimation,0.3444089498029939,0.12189215353185442,0.11496031120610693,0.971086592458214,0.3222501051094196
0.01,arima,0.3838921257777455,0.19680559718490934,0.10828846049216419,2.457843671445403,0.3483333927473621
0.05,rmean,0.5110463561431497,0.7871083136380104,0.22187258839997062,14.463386831607545,0.42193317476797365
0.05,last,0.39300403649187465,0.06389488109918419,0.23048451746682128,0.6787653570796651,0.3887062277263957
0.05,next,0.40727213604768303,0.06719528966295935,0.24162086564956053,0.7740377867555016,0.40072649935942206
0.05,linear_interp,0.32741804106963646,0.06031251317314771,0.18562623689689411,0.669406837918499,0.32042035102210814
0.05,quadratic_interp,0.7461945844157531,1.4364696725847372,0.1898830153178167,9.086432037139254,0.32127930970887686
0.05,spline,533097.2705071064,11907029.610509131,0.19022201564403518,266515990.10286602,0.323748877100119
0.05,knn,0.3444431304204496,0.06401348031198216,0.18894025427240915,0.7034813725893383,0.33516809068094033
0.05,kalman,0.339219766686066,0.06363818359224492,0.18372783316965,0.6870588553749538,0.33065462060475803
0.05,matrix_estimation,0.35477237460220146,0.06398482613410751,0.2082226961244548,0.6735866553800722,0.34763726772249726
0.05,arima,0.4247741817810524,0.16115208698460415,0.23476684534078382,1.8127821145431577,0.3842687779383017
0.1,rmean,0.6298662490496281,0.66807391841287,0.2927127346329279,7.486550014585198,0.45795453304470807
0.1,last,0.39327309573372604,0.04642801467727959,0.26546350907456934,0.5278943512610309,0.39079692249460585
0.1,next,0.4086155535879575,0.0429408360180466,0.30353400193444946,0.5655200349560622,0.40669042931489824
0.1,linear_interp,0.3274305668587516,0.04163606182277557,0.2159897998724447,0.46138669045318936,0.32364900839220634
0.1,quadratic_interp,0.7899088567178507,1.0799583425924837,0.23758624952301544,5.574768294585724,0.3325096603134887
0.1,spline,13400.666744952605,296326.4011662574,0.24106479396107008,6632774.642347816,0.33491823302842166
0.1,knn,0.34327689237580195,0.04385474762180373,0.22088923231232435,0.47975448532739345,0.3385856866833423
0.1,kalman,0.33790810242445934,0.04377930006725519,0.21338692096264067,0.4734864225746345,0.3337206881506666
0.1,matrix_estimation,0.36145987033147686,0.04628482732088459,0.23856706293140142,0.5055759295761866,0.35913684333494367
0.1,arima,0.4436541760890743,0.1543783200160684,0.2357606787388633,1.3086677215474591,0.39780151531624686
0.15,rmean,0.9925544071693395,0.9819635751538188,0.35754854939254455,7.424061901269088,0.6475799296697364
0.15,last,0.3976816058574412,0.03446987690437029,0.30125678175149573,0.4989076525225885,0.3950267754012218
0.15,next,0.41268279858740514,0.03465987385145681,0.31595272799822477,0.5365480164358893,0.41186140944828586
0.15,linear_interp,0.3332589461350927,0.031638886404684124,0.252027959462871,0.44620010881211924,0.33297298363905614
0.15,quadratic_interp,0.7736253203326762,0.8403667401537513,0.26636690237159355,3.854700528195486,0.3510274474579986
0.15,spline,45985.85592538653,1027188.673746556,0.2670017659042192,22991642.710487414,0.3499392268113428
0.15,knn,0.34872147783869195,0.03299537615243089,0.25509959168934976,0.4715850607968327,0.3469358123487464
0.15,kalman,0.3432044670356895,0.03304842186372391,0.2524054936705197,0.4596417633509491,0.3425075354802888
0.15,matrix_estimation,0.37342728046815943,0.036709470220859367,0.28864142199012155,0.5227571923956438,0.3707857739545518
0.15,arima,0.4567625325282751,0.15536822215994367,0.2871158608390393,1.3149855779057567,0.4060647775372519
0.2,rmean,1.4724536071682828,1.118410804301297,0.4217996580840599,8.567006999473849,1.0633242832335879
0.2,last,0.4053709032952985,0.030380486213736412,0.32424085498205296,0.5221249932703373,0.4039787904589083
0.2,next,0.41872618838004083,0.03054984013265951,0.34645240467660754,0.5190070225374568,0.41721265014695796
0.2,linear_interp,0.34027533344588473,0.02735434280626775,0.27082699092591583,0.4453872084552655,0.33815963645703484
0.2,quadratic_interp,0.8305789290559729,0.7598595272737613,0.27648082095377075,3.917676268319645,0.36658690047926445
0.2,spline,574.7147771316301,10834.91489832893,0.2732555015568173,238532.61031677714,0.36368764798927766
0.2,knn,0.35504242710958406,0.02900822216844285,0.27577288662102656,0.45642567452860794,0.3529694577853204
0.2,kalman,0.3490350653575124,0.028628018172459704,0.2768479391210584,0.44995399304454603,0.3465616246351346
0.2,matrix_estimation,0.38790330740769957,0.03574252540190608,0.29645282169882775,0.49617327868938865,0.38505535913721023
0.2,arima,0.4353503945168578,0.11075219606666405,0.3157501822583859,1.0209136945289834,0.40076971447909665
0.25,rmean,2.2082053135644606,1.5421849497089057,0.4252810706218525,9.242446499754982,1.7067977690899314
0.25,last,0.40791880979417966,0.026491286214607068,0.31452962292373565,0.5053944996078245,0.40590733537034734
0.25,next,0.4203976525937111,0.027921413463971857,0.3352913833862769,0.5116104183954671,0.418907742625396
0.25,linear_interp,0.34302737130503713,0.025061843370331235,0.2809966870055178,0.41695703285483177,0.341723364749331
0.25,quadratic_interp,0.8391024693771563,0.6928519608315468,0.29560722846075643,3.431364693464004,0.3786688512296441
0.25,spline,0.5325515853392272,1.016438668679847,0.2950304228626261,18.637133940269063,0.37772942629535966
0.25,knn,0.3569895307323394,0.025944947889603446,0.2907898384002617,0.43423739032193787,0.35636580758775627
0.25,kalman,0.35044197371285324,0.025904703024173373,0.2892971877896023,0.4255626254931149,0.3486050102648621
0.25,matrix_estimation,0.395759460851149,0.036865363142534954,0.3106822135168799,0.5269946280824321,0.3916340836539077
0.25,arima,0.42583090112002703,0.10815956410729743,0.2979965398220776,0.9444768477789148,0.39782653472349516
