missing,method,mean,std,min,max,median
0.01,rmean,0.7766008230933898,3.679091132603797,0.09602201009649883,49.1324489388983,0.2650133871109261
0.01,last,0.2569417039407859,0.08102409703000273,0.08077721441491559,0.5653266022735897,0.24680685146983988
0.01,next,0.3512458632852835,0.1803091195828523,0.09098204341772434,1.1696153256954702,0.31354170939346077
0.01,linear_interp,0.24401370832103736,0.12287725584863693,0.05284556201394549,0.797467045132889,0.22068502578543508
0.01,quadratic_interp,0.7887883452743538,3.6768680683059705,0.06871488261406539,49.12795712504886,0.27130587071039114
0.01,spline,0.307550452552868,0.16244916516015706,0.07800303485800406,2.5200051822395424,0.281333771122165
0.01,knn,0.23495849913276692,0.11751552396802548,0.05433365045038584,0.7800941664178609,0.2179517886622415
0.01,kalman,0.26062295191468365,0.11443338972129978,0.07113825723472915,0.711870227038584,0.23986818642604074
0.01,matrix_estimation,0.2751663753833633,0.1107041573407434,0.09997964971923466,1.1297303852889369,0.2533548577386063
0.01,arima,0.29800090130973933,0.11524978279868908,0.10744300296339486,0.7306205970536029,0.28238633564967686
0.05,rmean,0.6075905271508364,1.2919394253099508,0.18389381534469418,10.449961816143306,0.28692445451605
0.05,last,0.2675955764472491,0.03647766553675854,0.17474672538302335,0.42029577537958085,0.26467153995324466
0.05,next,0.3597068153591804,0.07894927911262366,0.19342801765871837,0.6383531205368582,0.3591495926254821
0.05,linear_interp,0.25168686567432436,0.053794145721776404,0.12245947372099082,0.42033328830844596,0.2495939674461951
0.05,quadratic_interp,0.6032138220211728,1.2739796276602116,0.16010733386229992,10.425478889326477,0.3061064741426928
0.05,spline,33822162.74418885,694425583.7257512,0.17890796730460795,15480249893.029535,0.3158198301758152
0.05,knn,0.2446140368383783,0.051627463555516354,0.11970959231152382,0.4097848229045592,0.24070303118890946
0.05,kalman,0.26487519016214295,0.04963875074368867,0.13448436770481895,0.41070554515232066,0.26295448021264123
0.05,matrix_estimation,0.28637977456850733,0.0501667432045019,0.15786945047195888,0.4473107913513546,0.28244747768551537
0.05,arima,0.3022038993744724,0.05183184587820175,0.18195871485777987,0.6280371801358388,0.2998047520174476
0.1,rmean,0.7814316753334656,0.9374943894229957,0.21769029693424005,5.37235481351679,0.32752604457092394
0.1,last,0.27342921044170637,0.026769736901544047,0.19830234237337524,0.35052930905424134,0.2729285121380104
0.1,next,0.3707560468668509,0.05850624405128655,0.22981007407969611,0.5351548238665539,0.36645365808680586
0.1,linear_interp,0.2594716599417286,0.04020286862167881,0.16240658916085893,0.3718469410540727,0.2561395163874073
0.1,quadratic_interp,0.6970189643822428,0.9218795162290436,0.2101884686171953,5.384510801342776,0.3243378582932959
0.1,spline,580943625656454.6,1.2977297563218046e+16,0.21790842405129662,2.9047181235060986e+17,0.3347356383372576
0.1,knn,0.2546599344605129,0.03838877327440453,0.14739960642398536,0.36158271931952624,0.254352588267595
0.1,kalman,0.27156261821036165,0.03742172967335847,0.17289715522271382,0.38444344724480156,0.26870598140605206
0.1,matrix_estimation,0.29864394341731304,0.036756710883829466,0.2058620621372871,0.4263286822470263,0.296480573744363
0.1,arima,0.3046618901607274,0.0418273103577298,0.1919308154245003,0.4625603876790888,0.29921638400977896
0.15,rmean,0.966351599108461,0.9579915852513371,0.2237232444399453,5.935284387439612,0.5048163135527358
0.15,last,0.27978945761961094,0.02189676045466542,0.22267773345495775,0.3497836696396191,0.27940611292657835
0.15,next,0.37655021418414025,0.04557005830225919,0.24514900665507575,0.5268793688986704,0.37509678993402956
0.15,linear_interp,0.26337261787944893,0.03197137618008878,0.16566935335539043,0.35617274002452937,0.2617628132964575
0.15,quadratic_interp,0.7803704915147955,0.9123743437003714,0.21893557993135648,4.684163701320699,0.3364467862162531
0.15,spline,6.50949486248768e+27,1.4541110053572942e+29,0.24505089458213478,3.25474743124384e+30,0.3451801509734972
0.15,knn,0.26017396480150956,0.030939286985809212,0.16082199938574246,0.3485579710897441,0.2593162765278081
0.15,kalman,0.27379316746941407,0.03017070975483864,0.16579411098732483,0.3547884837872102,0.2724568915245321
0.15,matrix_estimation,0.3103561314323302,0.03461035596199384,0.2262077124158178,0.44812205820199,0.30593884105451613
0.15,arima,0.3021738511190576,0.039822917578949006,0.20950275262526416,0.5323408252305184,0.29814200745461594
0.2,rmean,1.1291193382544997,0.82464358492924,0.26248394578525225,4.837702704990409,0.8169754640734463
0.2,last,0.28878290410236457,0.01872384875678024,0.2369525711516221,0.3476117189484967,0.28868557742168993
0.2,next,0.3817976677033901,0.03689874210934721,0.26164874199860133,0.5163718585902631,0.3813417901490993
0.2,linear_interp,0.26920590653630466,0.026344775876792473,0.1933022145823104,0.37322941772304846,0.2693888501690922
0.2,quadratic_interp,0.7288236531996656,0.7488852281253054,0.2631259736197403,4.517036515914497,0.3419908689751271
0.2,spline,28313816685770.8,477626971852427.1,0.28095063833617706,9773522098830318.0,0.355564772917664
0.2,knn,0.2676717145562614,0.02559956899546469,0.19300669260428138,0.3600101010856634,0.2682997460101404
0.2,kalman,0.27715999854476603,0.02480458362663476,0.20586419510461748,0.36299705731221915,0.2756841767983591
0.2,matrix_estimation,0.3174653345273711,0.029163635917959122,0.24610664591217432,0.40488751062641914,0.31539772552838796
0.2,arima,0.29950514464427214,0.0369089939865604,0.2188404893425052,0.4895996266137785,0.29430263190430483
