missing,method,mean,std,min,max,median
0.01,rmean,0.6885561125453526,2.8680253196132064,0.09750506113370473,24.672556066155646,0.3175674300677324
0.01,last,0.3048644114892133,0.09377219604541442,0.09540538914218095,0.7308859842085467,0.3005908392627199
0.01,next,0.4051294035219767,0.19716070970563226,0.09109887700166351,1.2231009800548682,0.38316045385619557
0.01,linear_interp,0.28962428522425054,0.13422717588202332,0.04559756591763316,0.8523709783983404,0.27661969048108037
0.01,quadratic_interp,0.7101969742575991,2.874776209731885,0.0723366945765936,24.78028048407289,0.32400799644305095
0.01,spline,0.35868833725773125,0.14319199700794058,0.08766957949748945,0.9310646370315286,0.33509312980828676
0.01,knn,0.27918663522459986,0.1304266334206814,0.04921825592402882,0.8255121011857424,0.2657667222474003
0.01,kalman,0.30669822182563267,0.1287108800247565,0.05950303955602744,0.7872958177996263,0.2941409701132338
0.01,matrix_estimation,0.2998937150881505,0.1163396963355812,0.09399671251420708,0.8118925763280016,0.2805397893698264
0.01,arima,0.3316801298215036,0.12530269416403916,0.11283585492391048,0.8675132033303949,0.3132088671568569
0.05,rmean,0.5848602491598752,1.039599719661903,0.2270642134268884,5.277916821168176,0.32840283111956425
0.05,last,0.30564568799986896,0.04019213727496685,0.21007302229608027,0.4280701846197015,0.30343110771729653
0.05,next,0.4039323872515288,0.08538782972937499,0.22372421141592339,0.7831128503613446,0.4030482758161767
0.05,linear_interp,0.2881096154488023,0.05828765677897278,0.15400152760574348,0.5551991685086782,0.2881952420730406
0.05,quadratic_interp,0.582057068014781,1.032528060714493,0.1836752978896314,5.387436179468304,0.3455969673563788
0.05,spline,8116656.080164954,97021298.58992009,0.19378130595232754,1309008146.5724797,0.357526696563295
0.05,knn,0.2803039445780478,0.05621856280426378,0.14891781741853846,0.5463964296300711,0.2800412082149244
0.05,kalman,0.3034490875385308,0.05521073899014869,0.16965282721459135,0.5508824969342436,0.30309261080090866
0.05,matrix_estimation,0.30470754743295186,0.05322815991207574,0.18778855360929392,0.46712426523866846,0.29817546991902
0.05,arima,0.33237662909840815,0.05750083263209611,0.20167002354966526,0.5509033500912461,0.32767053977061944
0.1,rmean,0.6797601469372051,0.8582134943857341,0.26268477661354345,7.1930495724133445,0.35556574644760625
0.1,last,0.3142691818646741,0.02810579502497539,0.2314952756754426,0.40138768565257976,0.31410411866775695
0.1,next,0.40741079793081836,0.06007041743685169,0.25823463994573803,0.6715438839008773,0.4038548618151886
0.1,linear_interp,0.2934755535405408,0.04109021665136943,0.189459013851743,0.44364371248916123,0.29259192320675714
0.1,quadratic_interp,0.60249432874822,0.818832341267381,0.24604141365718107,7.224477754121329,0.355296888711831
0.1,spline,4.796757740475869e+19,1.0704422379305718e+21,0.26469432794838604,2.395982392053784e+22,0.36988082034719416
0.1,knn,0.28639610179663705,0.03933162991967692,0.19067229445147982,0.4356666751676095,0.28592541007681455
0.1,kalman,0.3074987958644144,0.03859586534359524,0.22195668829718163,0.43959263573915486,0.3059954625334645
0.1,matrix_estimation,0.31469956639622787,0.03877077917280879,0.2190999488768181,0.4788503093668678,0.3109821589122891
0.1,arima,0.33422154218640965,0.048587914403452594,0.2189713765719301,0.5183436746347554,0.33070293713473053
0.15,rmean,0.8814744114993278,0.8688979278881632,0.2512530475288245,5.840308889149516,0.4697734650595007
0.15,last,0.31746463156515253,0.023842196631793648,0.2522454539186487,0.40466044727345135,0.3167954078493195
0.15,next,0.41355157925928143,0.05142220062312775,0.25200909696439067,0.5676264117865042,0.4099877291023913
0.15,linear_interp,0.29808844334655415,0.03575154522190407,0.20446357848405158,0.41677445687859854,0.2971014351048493
0.15,quadratic_interp,0.6803076042367852,0.803256401702685,0.25436057749347946,5.259125863322032,0.3656964251405257
0.15,spline,494182.0468969088,7731984.422947142,0.2732558950755861,160131702.36037263,0.37589106687860374
0.15,knn,0.2921831732638327,0.03474747489674595,0.1947781369685667,0.3937416789825052,0.2925890289486819
0.15,kalman,0.30858745832280055,0.033540023885514164,0.21231887297027308,0.4153357311659846,0.3069639807128803
0.15,matrix_estimation,0.3254049947273135,0.03586610478462871,0.23143607958080303,0.46264786060608404,0.320709728421982
0.15,arima,0.3331134519950171,0.04415959482727658,0.21879654990474626,0.5772887889357878,0.3277060585283117
0.2,rmean,1.0063273856555766,0.7767786383078309,0.2783676216140334,5.225221117602733,0.6858367043047684
0.2,last,0.3241596799869051,0.02123021191647752,0.26045038873570836,0.3829884158504459,0.32410783844803315
0.2,next,0.4153521375286891,0.04463641644311995,0.2944057559779749,0.5543053501239196,0.41136928970123343
0.2,linear_interp,0.3014233697193115,0.03126027320372992,0.20335238925474025,0.4006949630071306,0.2996231888087424
0.2,quadratic_interp,0.6815234664999769,0.6967372404236334,0.25299705174107834,4.5958895940472955,0.3755628200769488
0.2,spline,103368.42958099603,1404770.084756117,0.2660917759097266,26150606.032461982,0.3830656457306869
0.2,knn,0.29679858893136385,0.030765555346325878,0.19229470186151104,0.38995003380730303,0.2948899239559566
0.2,kalman,0.3112535799048237,0.02936167795828896,0.22367062232385415,0.4003304245054287,0.3103540190807244
0.2,matrix_estimation,0.33314713264575574,0.03156513568997548,0.23163761341431247,0.4722187594468171,0.3319479439817916
0.2,arima,0.3326193142251642,0.04200712206010423,0.24663618905535908,0.5149908835923825,0.3260981103219385
0.25,rmean,1.2126453437770328,0.8109389589263041,0.3580108141041674,4.545345421093929,0.9467253740441992
0.25,last,0.3296017462961795,0.017695278321627914,0.2839918573922021,0.37646546942174713,0.328771534802188
0.25,next,0.41847612524132594,0.03644462268610993,0.32072500712839747,0.5405316098653488,0.4187450583465186
0.25,linear_interp,0.3058195208803145,0.02525166292576529,0.23359796922263576,0.37899723819967485,0.3053330517178752
0.25,quadratic_interp,0.7132026184321125,0.7056273438413198,0.29594713059151123,4.098869298531518,0.3785394952315596
0.25,spline,458790877763.9385,10248602339515.168,0.3198514107232379,229395225520264.75,0.38994647312974173
0.25,knn,0.3018510762111107,0.02468964141345248,0.2342905542650556,0.3751501626311637,0.301796862689897
0.25,kalman,0.31367006210223924,0.023295043690995908,0.25253927554400685,0.3959819691547954,0.3138671891307333
0.25,matrix_estimation,0.34318930201297354,0.028359499647085895,0.2789552246844639,0.5125714183240173,0.3423846907872071
0.25,arima,0.331488075656867,0.038708549047623574,0.25434502978634316,0.48981039227035666,0.3241479891466712
