missing,method,mean,std,min,max,median
0.01,rmean,0.4172366093408429,0.10527254548843708,0.21524031946598363,0.983551608044382,0.40197069403426733
0.01,last,0.41237834778309057,0.09566118658523524,0.23173579529356197,0.9535104366599144,0.40154365525817337
0.01,next,0.2468995018683457,0.08260859955288721,0.08602976503042989,0.5697233895377886,0.23999802161481698
0.01,linear_interp,0.2536563225322561,0.08462858626021515,0.08173448103718849,0.6879712375802977,0.24389425659604708
0.01,quadratic_interp,0.23809390239701894,0.06640898966164346,0.08379415051299965,0.4945163818023578,0.22861152643646726
0.01,spline,0.23682630042864844,0.06477813745314477,0.08605153772796267,0.493258469797664,0.22672372952296022
0.01,knn,0.2811833117666192,0.09091301319799239,0.10466286809217298,0.8103841737297037,0.26942932444519835
0.01,kalman,0.2634145895946268,0.09102547224159588,0.08664675147085252,0.7597300821263737,0.2521952495065303
0.01,matrix_estimation,0.37571217104889404,0.09578759504470905,0.16193396860362072,0.9937244687995852,0.3644420561039083
0.01,arima,0.34889352505380355,0.09696826597182685,0.14900241733058336,0.9688050972512456,0.336952642484564
0.05,rmean,0.5113932328774241,0.05488759182021015,0.3773180722272132,0.7167651875142651,0.5086733465673183
0.05,last,0.4637635587049042,0.04645238136710394,0.3398878449228991,0.6303612911548434,0.4566378483633994
0.05,next,0.3008916326832797,0.0544444080354742,0.1963819875795733,0.5739824306648569,0.29041720010306116
0.05,linear_interp,0.3032462808372526,0.04603247736504437,0.19137522818062186,0.5101440350762289,0.3001273561518883
0.05,quadratic_interp,0.2934067240456875,0.040239251351397255,0.1919015441592782,0.48457374982877305,0.29190757492877556
0.05,spline,0.2930517098586597,0.04005075257515747,0.194122442779684,0.48013599729454487,0.2918580077025823
0.05,knn,0.3269929517624961,0.04983627690547186,0.2062763569655275,0.5513393816110286,0.32267114831166
0.05,kalman,0.3081166187940967,0.04749640718288329,0.1930003647658887,0.5264047448068072,0.3053137466794297
0.05,matrix_estimation,0.44923609144264615,0.0580159505273432,0.30613851582324114,0.6750505899002966,0.4436136245503517
0.05,arima,0.3915438156451976,0.045147038520062265,0.26311704622433846,0.5971435210187873,0.3885897625478658
0.1,rmean,0.5644947683309692,0.03944014422848097,0.48048790901273086,0.7451074239777297,0.5621303448343979
0.1,last,0.4959667395817588,0.036849822405781836,0.36682296329491404,0.6771732405588929,0.4946208801160068
0.1,next,0.342863995740909,0.040054860072158145,0.25508983875967256,0.48124930959604495,0.34104611683684216
0.1,linear_interp,0.33889449537590693,0.03300340080030762,0.2482281779424046,0.46183379898828003,0.33597313165875203
0.1,quadratic_interp,0.33676407437384337,0.03070515332760153,0.25793302684511266,0.45510304228840015,0.3334021111363884
0.1,spline,0.33842379697600194,0.031009302927782804,0.2591802004570172,0.4644265677603778,0.33596826362772614
0.1,knn,0.3548617155162248,0.03551864359966865,0.2549063176386625,0.4926986674921666,0.3546203903974363
0.1,kalman,0.3413800337037961,0.03352200212082853,0.24984725947180955,0.46811663152467564,0.33869668155179045
0.1,matrix_estimation,0.4783543861469662,0.04745219454342365,0.36849825068022235,0.6666073499543312,0.47201434011727306
0.1,arima,0.41899624808699604,0.03172674988423629,0.34197907260713384,0.5130021158542103,0.4186951182210011
0.15,rmean,0.5812797898763049,0.029271053835457406,0.5135549169520293,0.6913061147507261,0.5778410505199565
0.15,last,0.5117522443247814,0.04145315891303168,0.43127074024230483,0.7509149899535037,0.5052750607351597
0.15,next,0.37301713446217105,0.03524342818663685,0.29582484692261707,0.5431614142688225,0.36985398440431994
0.15,linear_interp,0.35501714004501944,0.027971629004929385,0.28424751382579705,0.4564497556070228,0.3531305410873674
0.15,quadratic_interp,0.35265882391938286,0.02926012254706154,0.2710376495183791,0.46428906590180286,0.3516645195390131
0.15,spline,0.35546640584684897,0.03236327507824485,0.2689433258923635,0.6505866575296384,0.35376350349007923
0.15,knn,0.3685296930445044,0.028977290349741523,0.29412251295336933,0.4762344227248662,0.3656849377963264
0.15,kalman,0.3567415739811987,0.028084652126408875,0.2856122040306361,0.4595908454692427,0.3547480350732499
0.15,matrix_estimation,0.4911964987528479,0.03991141608574168,0.40720742073985094,0.6164001853317259,0.48788927252861075
0.15,arima,0.42838616758666276,0.02765201285459584,0.36173790108204873,0.5201964083887387,0.4267947517568478
0.2,rmean,0.5921614027374831,0.02605112233475792,0.5296732999449376,0.6710033324745288,0.5905831567598507
0.2,last,0.5241033181847751,0.04411509856222091,0.4227573628701607,0.7450672788923314,0.5164019676933189
0.2,next,0.39297426927475804,0.03418567116061763,0.31473238168787854,0.5189230214293501,0.3882282971544915
0.2,linear_interp,0.36553786223266077,0.022345980991031317,0.30433541587065766,0.43932223246579966,0.36360350184401274
0.2,quadratic_interp,0.3679975081028127,0.02442887980736874,0.3127890274984492,0.4584829904790522,0.3660235196510915
0.2,spline,0.3719937794539992,0.029769810529620067,0.3150501147355118,0.7128182354621214,0.3688999369538003
0.2,knn,0.3734238352920977,0.02308792700035294,0.30600202108585356,0.44206242235773613,0.37087409361373413
0.2,kalman,0.3666613821294244,0.022483832268523046,0.30435555760078126,0.4394836694339482,0.3647007077680605
0.2,matrix_estimation,0.49844841409505186,0.03885102997394445,0.40932713259709724,0.6807459029771775,0.49230106093305276
0.2,arima,0.4273697291612676,0.023597764042085242,0.3645746452676407,0.5092578041485641,0.4263612038006747
0.25,rmean,0.6083006199288823,0.024567873925149697,0.5423515649192788,0.6789613640305645,0.6065305734388756
