missing,method,mean,std,min,max,median
0.01,rmean,0.592860653635928,0.09903362834246716,0.32822724763397965,0.9935642320309983,0.5845475764601341
0.01,last,0.6300646885931233,0.07847755855198177,0.41302824451452663,0.9232947376515205,0.6248358615344209
0.01,next,0.4807804152380779,0.18914797048206472,0.12877704608789603,1.256387105297264,0.4597063625892793
0.01,linear_interp,0.5196453887090159,0.12371941321087793,0.25970431894391816,1.0625256289562979,0.5113037667596316
0.01,quadratic_interp,0.5614701605602449,0.12503050034684166,0.31333195099977534,1.0896937723431643,0.5484734602878139
0.01,spline,0.5712183821044706,0.12627417435147412,0.3209338788133898,1.0990791870520178,0.5568365953837412
0.01,knn,0.5102512156358082,0.1254616183251254,0.2307628576505194,1.0672102477649212,0.5068420387350328
0.01,kalman,0.4853524444072656,0.12542701759647754,0.2207908581006341,1.0085490186659356,0.47686473698833437
0.01,matrix_estimation,0.46241450530120176,0.1119134833130869,0.2289007723409977,0.8914532605304266,0.4483784267348774
0.01,arima,0.48272626200882757,0.10994514503363176,0.24470407784583895,0.9953701150978288,0.4716504350984735
0.05,rmean,0.6358168779944477,0.04136339541667926,0.5108570981693833,0.7620282022363059,0.6341244178424881
0.05,last,0.6021234690344571,0.03337911555066423,0.49864574606237694,0.7011739141254116,0.5998638425337207
0.05,next,0.4643923471070039,0.07070071967509274,0.2689794557662149,0.7316539843382103,0.455880613973501
0.05,linear_interp,0.4894804404152574,0.04826808426643864,0.34585356264261724,0.6703889519470074,0.48542904872017706
0.05,quadratic_interp,0.505908137916895,0.047302474933493065,0.38789960922778716,0.6958367553020794,0.5020629315080853
0.05,spline,0.5149132097419115,0.04790234484671217,0.3976758867228365,0.7033609353004358,0.5116443995909703
0.05,knn,0.487352092578975,0.049072385412570425,0.3227983713416998,0.6536768312000676,0.4833280461746211
0.05,kalman,0.48122232840703616,0.04995714096338213,0.3128960249113783,0.634932366021403,0.4774471217013423
0.05,matrix_estimation,0.46955230661143205,0.041927770555774506,0.3728973683411295,0.6073493406062161,0.46625335557028247
0.05,arima,0.5018675264470314,0.04003870347339422,0.37840722081216227,0.6132057474500358,0.5017951380622596
0.1,rmean,0.6691073731577479,0.028032027204448567,0.5786350078431167,0.7519006319300721,0.6701430031774076
0.1,last,0.575593213119608,0.021137080477855837,0.512082980416858,0.6337969752563155,0.5754544080677306
0.1,next,0.4652912925484551,0.04543618106093403,0.36502269805160686,0.6542544518178943,0.46272132062501214
0.1,linear_interp,0.46885342539110575,0.027860748943276798,0.4008039930027552,0.5682872797176521,0.46901489670747054
0.1,quadratic_interp,0.47156822006599736,0.02777699254828008,0.3967659963542087,0.5840595403572026,0.4703721719976206
0.1,spline,0.4815341023309593,0.0283585658427793,0.4031149490447495,0.6005327973238277,0.4793594975156726
0.1,knn,0.474424276914653,0.028727889025488843,0.40328846104112714,0.5602898270247789,0.4739223637038328
0.1,kalman,0.46974236679026216,0.028916633553642372,0.39439320130449557,0.5722797108834832,0.4690128461544556
0.1,matrix_estimation,0.44502869733380235,0.02656247300744566,0.3858089488273667,0.5228205849271942,0.4439240250540999
0.1,arima,0.4910526607522072,0.02402092535682457,0.4150183319201783,0.5715665961828529,0.48988755246580373
0.15,rmean,0.6747408171090008,0.02198939872139387,0.5902055223394036,0.7376790903443237,0.6751769840314881
0.15,last,0.5503255633818585,0.015782982342589128,0.5022447595137248,0.5955485512054336,0.5504411334552396
0.15,next,0.46132160589956306,0.0350178136472341,0.3681726693784692,0.570535079592225,0.4598081211158269
0.15,linear_interp,0.4482269782097333,0.020305320902828727,0.3877449463946342,0.5061687861137215,0.4471716837867994
0.15,quadratic_interp,0.4461534734313903,0.02105845694580808,0.3924892841983217,0.5130921880283983,0.4460914820512514
0.15,spline,0.46307425052449436,0.05944947616896088,0.400892132438539,1.0092452719683183,0.45510681328662606
0.15,knn,0.4559679985501218,0.02090469621723104,0.39150015829132456,0.510042107940757,0.45547792821261623
0.15,kalman,0.45109867894338695,0.020563815106280286,0.3923140086222418,0.5079672284074565,0.45054135403635276
0.15,matrix_estimation,0.43230456128596156,0.02370219891634508,0.351575988795996,0.5230048369281676,0.4299458568450666
0.15,arima,0.4645913640394921,0.018423095949855084,0.410634577010229,0.5182603566283803,0.4625214074236213
0.2,rmean,0.6679004269071791,0.01769640627882552,0.619216896542444,0.7227578750668252,0.6669678966793402
0.2,last,0.5295896416044049,0.01594153512855242,0.475443071111497,0.6154463946360573,0.5291692245904843
