missing,method,mean,std,min,max,median
0.01,rmean,0.3474252927028619,0.06703482116833513,0.17720461313575053,0.5504775976197049,0.3435575665240827
0.01,last,0.31102258781465775,0.05249301726544721,0.19125716496889617,0.47495588845658343,0.3089027537461376
0.01,next,0.23155694222948078,0.0740818631046963,0.08998205653626357,0.5233502651850691,0.2143082451927679
0.01,linear_interp,0.18721926792107274,0.05792967291303198,0.07272121344325518,0.3995207004547174,0.18178002280411654
0.01,quadratic_interp,0.16714517725175573,0.04740023128593718,0.06942459838743077,0.3537687428295401,0.15895587317535625
0.01,spline,0.16672871146440144,0.04715559979723293,0.07437557595909725,0.33769912972754584,0.15951365360085662
0.01,knn,0.2170148586636694,0.061126139840061725,0.08620292634284173,0.4368505475947981,0.21008709287586708
0.01,kalman,0.20013474288549155,0.0605388488931128,0.07894272899488272,0.42272811567210616,0.19377886412978862
0.01,matrix_estimation,0.23155521511563018,0.048425323795770706,0.10139103514055829,0.4560321647813791,0.22660640963769707
0.01,arima,0.2186834822501401,0.04832631891007121,0.09960316201753643,0.37432972288372757,0.21563614242243961
0.05,rmean,0.39428075678172686,0.029887499011524394,0.2978991860541694,0.4887932683678939,0.3940716841211709
0.05,last,0.28825860962679933,0.02105547212823215,0.2341153067576602,0.37609568297546336,0.2878027688312449
0.05,next,0.22994219758557047,0.026849402589848897,0.14713282066996403,0.3275375330786845,0.2294371888022639
0.05,linear_interp,0.195089611527825,0.018003520026563503,0.14730522334853186,0.26104500467852054,0.19520475216646116
0.05,quadratic_interp,0.1977359081050203,0.029853153951141746,0.14514221493794943,0.37488933274834046,0.1925443143604234
0.05,spline,0.19724752266295084,0.03129956619034537,0.14068543562895616,0.383883569696634,0.19159963268766494
0.05,knn,0.21090831924727713,0.018612276209183033,0.15750887339224584,0.2568446674990418,0.2112571889458738
0.05,kalman,0.1995374565255858,0.01809531018493094,0.15121719709259215,0.25987123913847476,0.19988898835567476
0.05,matrix_estimation,0.2500246338053019,0.024795695954369545,0.17089295219130074,0.3223953456362685,0.25066343563381593
0.05,arima,0.21660310709916086,0.015880595037920848,0.16197314810497562,0.285865164770124,0.21591323498785941
0.1,rmean,0.3977051157154108,0.021535877684009004,0.33712600387714936,0.4658315779805503,0.3965739974357294
0.1,last,0.26818365153009005,0.010883153179456448,0.23656872276721824,0.3157128132856761,0.26785995460861317
0.1,next,0.19226473359536508,0.013973957045899963,0.16110246230222217,0.24426955184526933,0.19133419965620685
0.1,linear_interp,0.17979429163085092,0.009165134936673792,0.15356361697532786,0.2035340059739923,0.18028530877085494
0.1,quadratic_interp,0.1761910885460589,0.01266439270083313,0.14752897659640235,0.2222264821399634,0.17510716511805907
0.1,spline,0.17688150243905346,0.013409610677904043,0.14642859391218982,0.22573124612408618,0.17567983128638376
0.1,knn,0.19483587499504043,0.009448593453831242,0.16783538889819782,0.2190648623932356,0.19527001658404827
0.1,kalman,0.18329750933957856,0.00908764850229312,0.15689619294299376,0.20637735291963558,0.18388235241999867
0.1,matrix_estimation,0.2437709799216209,0.017430242386353482,0.19965699742818532,0.33793796612836113,0.24315465892707838
0.1,arima,0.20118210881501333,0.009421221792058372,0.1735401439450303,0.2291878054155816,0.20093565459628596
0.15,rmean,0.4216230339294785,0.018988770668321373,0.36910871614007323,0.5038107074104137,0.4202007198308223
0.15,last,0.2632306747108612,0.012218643521138675,0.23337272731315872,0.33069547998385695,0.2625579867120334
0.15,next,0.18442020378611332,0.010695338000418742,0.1504334815791922,0.21692600790764519,0.18383053676690206
0.15,linear_interp,0.17360970153649546,0.006644741886427279,0.15469219426489025,0.1947368081737885,0.17322223944376058
0.15,quadratic_interp,0.17295314839850157,0.012780149255607023,0.14982746122718,0.3133571936046717,0.17151669098808253
0.15,spline,0.17346853602572637,0.014104827601828223,0.1495785184321545,0.34041412654346814,0.17150004476394426
0.15,knn,0.18430083658958182,0.007063788346369558,0.16246645708295296,0.2079592674150131,0.18403224106648897
0.15,kalman,0.17603240230776873,0.006531701236279911,0.15781109566528742,0.19632315875999454,0.17560425877289582
0.15,matrix_estimation,0.2616214628372573,0.02228574548524971,0.19942443821814182,0.33786112777996663,0.2588857461776795
0.15,arima,0.19445318481138088,0.007481722551713369,0.17566853444788763,0.21863234923324149,0.19358652453542807
0.2,rmean,0.44794086783341863,0.01768320286623267,0.39484490185101306,0.49045168304207293,0.44847572413686787
0.2,last,0.26643950050723086,0.017886891207377385,0.23423939505518374,0.37297716249836793,0.26243309990139324
0.2,next,0.19381574489978226,0.015406112012950847,0.15514904599719354,0.24619315720432441,0.19179186665092457
0.2,linear_interp,0.17072674698970763,0.006227943214708308,0.15430984274086154,0.19574193251378322,0.17040514431107526
0.2,quadratic_interp,0.17937753036597065,0.022013093028786908,0.14575602744448282,0.36241948808985885,0.173637052504392
0.2,spline,0.18200645175833682,0.025292691814337298,0.14535590329532969,0.3886302293579898,0.1749701507918484
0.2,knn,0.18039709184317418,0.007561599302971593,0.16360431262269184,0.21342816350683533,0.17939397231323614
0.2,kalman,0.17253759562676738,0.006150716141232406,0.15632735170389966,0.19873599731079544,0.17215989809942284
0.2,matrix_estimation,0.3006671643831355,0.026401715408778635,0.23468372397272025,0.38167854422389647,0.30001917128090827
0.2,arima,0.1914934629755322,0.006812492405299299,0.17214712137807234,0.21207104894603213,0.1907290735692077
0.25,rmean,0.47292532348309674,0.015050277111511924,0.4207932027860837,0.5262616253838851,0.4732129187124061
0.25,last,0.2795489071705965,0.02963052230030412,0.22585068538271338,0.4038039037769406,0.270465585449406
0.25,next,0.21202172632451374,0.018117178120385925,0.17002376957568255,0.2693324703885058,0.21081250312831218
0.25,linear_interp,0.17091788617391704,0.006816033180545579,0.15267711858238278,0.20252034652744816,0.17050136228173696
0.25,quadratic_interp,0.19855729994592272,0.03395092324174428,0.1526014588061597,0.3315795980285322,0.1890649496482645
0.25,spline,0.20422133305178874,0.037682270516100444,0.1523712780088157,0.3592116295846031,0.1954816394495762
0.25,knn,0.18282558971224425,0.009191630386413855,0.1622184658889191,0.21774647709715486,0.1822856946291465
0.25,kalman,0.17237351595892045,0.00686793397940429,0.15491946891383043,0.20428350659063602,0.1717132018189424
0.25,matrix_estimation,0.33140134427965984,0.021654605105751745,0.2731139357946562,0.3944354257893244,0.3317674433074273
0.25,arima,0.19076897929392328,0.006819952987372573,0.17478229927369876,0.2177785637745208,0.1902700895957676
